document_title,document_type,scheme_or_category,published_date,document_url,file_format,public_access,short_description,source_page_title,source_url,last_verified_date
Group-1 List Of BIS Recognised Laboratories,Laboratory Directory,Laboratory Services,2026-08-24,https://www.bis.gov.in/wp-content/uploads/2026/06/Group_1_24062026.pdf,PDF,Public,Official list of BIS-recognised private and government testing laboratories with recognition validity dates,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Group-2 List of Laboratories Empanelled by BIS,Laboratory Directory,Laboratory Services,2026-04-23,https://www.bis.gov.in/wp-content/uploads/2026/04/Group-2_23042026.pdf,PDF,Public,Official list of government laboratories empanelled by BIS,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
List of Products Under Simplified Procedure,Guideline,Product Certification,,https://www.bis.gov.in/wp-content/uploads/2024/11/List-of-Products-Under-Simplified-Procedure.pdf,PDF,Public,"Products for which the Simplified Procedure (Option-2, using existing acceptable test reports) may be used",Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"Mandatory Hallmarking Order, 15.01.2020",Quality Control Order,Hallmarking,2020-01-15,https://www.bis.gov.in/wp-content/uploads/2020/01/Mandatory-Hallmarking-Order-15.01.2020.pdf,PDF,Public,Original order notifying mandatory hallmarking of gold jewellery and gold artefacts,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"Hallmarking of Gold Jewellery and Gold Artefacts Amendment Order 2026 (second amendment, 385 districts)",Notification,Hallmarking,2026-04-28,https://www.bis.gov.in/wp-content/uploads/2026/05/Hallmarking-of-gold-jewellery-and-gold-artefacts-order-2026-second-amendments-385-districts-1.pdf,PDF,Public,Amendment extending mandatory hallmarking district coverage,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Notification related to mandatory Hallmarking (03 August 2026),Notification,Hallmarking,2026-08-03,https://www.bis.gov.in/wp-content/uploads/2026/08/Notification-related-to-mandatory-Hallmarking-2.pdf,PDF,Public,Latest hallmarking-related notification found in official navigation as of the extraction date,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"BIS Hallmarking Regulations, 2018 (Gazette notification)",Notification,Hallmarking,,https://www.bis.gov.in/bs/BIS_Hallmarking_Regulations_2018_Gazette_notification.pdf,PDF,Public,"Gazette notification of the BIS Hallmarking Regulations, 2018",Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Guidelines for Jewellers,Guideline,Hallmarking,2026-07-01(approx.),https://www.bis.gov.in/wp-content/uploads/2026/07/Guidelines-for-Jewellers.pdf,PDF,Public,Guidelines for registered jewellers under the Hallmarking scheme,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Guidelines for A&H Centres,Guideline,Hallmarking,2026-07-01(approx.),https://www.bis.gov.in/wp-content/uploads/2026/07/GuidelinesForAHCs.pdf,PDF,Public,Guidelines for Assaying and Hallmarking Centres,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"List of Products Under Compulsory Certification (live page, not a static document)",Guideline,Product Certification,,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,HTML (live page),Public,"Official, currently maintained list of products under compulsory BIS certification",Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
