service_name,category,description,official_url,portal_name,access_notes,source_page_title,source_url,last_verified_date
Search Indian Standards (Know Your Standard),Indian Standards,Official tool to search/look up an Indian Standard by number or keyword,https://standards.bis.gov.in/website/know-your-standards,Know Your Standard,Live/interactive tool; individual results are session-based and not static URLs,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Download / purchase Indian Standards,Indian Standards,"Official e-Sale portal (operated by BSB Edge Pvt Ltd on behalf of BIS) for buying or, for QCO-mandatory standards, freely downloading Indian Standards",https://standardsbis.bsbedge.com/,eSale BIS (BSB Edge),,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Product Certification application (ISI Mark),Product Certification,Apply online for BIS product certification (Scheme-I),https://www.manakonline.in,MANAK Online,Login required to submit an application,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Products under Compulsory Certification,Product Certification,"Official, currently maintained list of products for which BIS certification is mandatory under QCOs",https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,BIS website,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
CRS registration / information,CRS,"Compulsory Registration Scheme overview, registration process and registered-manufacturer search",https://www.crsbis.in/BIS/about-crs.do,CRS BIS,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Hallmark / HUID verification,Hallmarking,Verify a hallmarked article's HUID and jeweller/purity details,https://huid.manakonline.in/MANAK/HallmarkingHomePage,MANAK Hallmarking,Consumer-facing verification is via the BIS CARE mobile app,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
BIS CARE mobile application,Consumer Services,Official BIS mobile app for verifying licences/HUID/R-numbers and filing complaints,https://www.bis.gov.in/bis-apps/?lang=en,BIS Apps,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Testing laboratory directory (IS-wise search),Testing Laboratories,"Search BIS, BIS-recognised and BIS-empanelled labs by Indian Standard number",https://lims.bis.gov.in/home/search_is_number/,BIS LIMS,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"List of BIS Recognised Laboratories (Group-1, PDF)",Testing Laboratories,Official PDF list of BIS-recognised private/government laboratories,https://www.bis.gov.in/wp-content/uploads/2026/06/Group_1_24062026.pdf,BIS website (PDF),Static PDF document,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
"List of Laboratories Empanelled by BIS (Group-2, PDF)",Testing Laboratories,Official PDF list of government laboratories empanelled by BIS,https://www.bis.gov.in/wp-content/uploads/2026/04/Group-2_23042026.pdf,BIS website (PDF),Static PDF document,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Consumer complaint / grievance registration,Consumer Support,"Register a complaint about a BIS-certified product, hallmarked item, or BIS service",https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,BIS website / BIS CARE app,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Contact / Enquiry directory,Consumer Support,"Official phone numbers and emails for BIS departments (Sales, Library, TBT, CRS, Hallmarking, MSCD, Complaints, Training, Laboratory)",https://www.bis.gov.in/directory/enquiry/?lang=en,BIS website,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Products under Compulsory Certification / QCO information,Consumer Support,"Same official compulsory-certification list, relevant for consumers checking if a product needs a mark",https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,BIS website,,Bureau of Indian Standards - site navigation (captured from Product Certification FAQ page),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
