topic,issue_type,user_action_steps,required_evidence,complaint_or_service_portal_url,helpline,email,office_or_contact_details,official_url,source_page_title,source_url,last_verified_date
Product/service complaint - General,General complaint,"Register the complaint through the BIS CARE mobile app or the Standard Promotion Portal on www.manakonline.in;complaints are recorded centrally at the Complaints Management and Enforcement Department (CMED);on receipt, the complaint is investigated and further action taken for redressal",,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,+91 11 23235069,complaints@bis.gov.in,,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,Online Complaint Registration - Bureau of Indian Standards,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,2026-09-07
Quality of BIS certified products / misuse of Standard Mark,Product/service complaint,"Lodge the complaint through the BIS Standard Promotion Portal (www.manakonline.in), the BIS CARE mobile application, or by contacting/writing to the Public Grievance Officer of the nearest Regional/Branch office of BIS","Name/type/size/grade of product, source and date of purchase, batch number, licence number, whether the Standard Mark is present; preserve the cash memo/invoice and keep the product and its packing in safe custody until an inspecting officer visits",https://www.manakonline.in,+91 11 23235069,complaints@bis.gov.in,,https://www.bis.gov.in/consumer-overview/consumer-overviews/consumer-protection/?lang=en,Consumer Protection - Bureau of Indian Standards,https://www.bis.gov.in/consumer-overview/consumer-overviews/consumer-protection/?lang=en,2026-09-07
Hallmarking / HUID query or issue,Hallmark verification,"Verify the HUID using the 'Verify HUID' feature of the official BIS CARE mobile application; for a suspected purity shortfall, get the article tested at a BIS-recognised Assaying & Hallmarking Centre",Purchase invoice; the hallmarked article itself,,+91 11 23234223,hallmarking@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Compulsory Registration Scheme (CRS) query,General enquiry,"Contact the CRS enquiry desk, or check registered manufacturers/models on the CRS portal",,https://www.crsbis.in/BIS/Lims_registrationc.do?hmode=getLimsData,+91 11 23230856,registration@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Product certification (ISI Mark) query,General enquiry,"Refer to the Product Certification Contact Us page for department-specific contacts, or use the FAQ/portal links",,https://www.bis.gov.in/product-certification/product-certification-contact-us/?lang=en,,,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Laboratory services query,General enquiry,Contact the Laboratory enquiry desk for testing-facility or testing-charge queries,,https://lims.bis.gov.in/home/search_is_number/,+91 11 2323 8531,lppd@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Sale/purchase of Indian Standards,General enquiry,Contact the Sales desk for queries on buying/downloading standards,,https://standardsbis.bsbedge.com/,+91 11 23237995,sales@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Technical Barriers to Trade (TBT) / standards-related technical query,General enquiry,Contact the TBT/Standards enquiry desk for technical queries on a standard or its technical department,,https://www.bis.gov.in/index.php/standards/technical-information-services/?lang=en,+91 11 23231082,ird@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
Management System Certification query,General enquiry,Contact the Management System Certification Department (MSCD) enquiry desk,,https://www.services.bis.gov.in/php/BIS_2.0/login,+91 11 23231842,mscd@bis.gov.in,,https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
BIS Headquarters office address,Office/contact details,Write to BIS Headquarters for correspondence that cannot be routed online,,,,,"Bureau of Indian Standards, Manak Bhawan, 9 Bahadur Shah Zafar Marg, New Delhi - 110002",https://www.bis.gov.in/directory/enquiry/?lang=en,Enquiry Related to BIS Activities - Bureau of Indian Standards,https://www.bis.gov.in/directory/enquiry/?lang=en,2026-09-07
