scheme_name,applicant_type,service_name,step_number,step_title,step_description,documents_required,fees_info,processing_time,application_portal_url,form_or_guideline_url,official_url,source_page_title,source_url,last_verified_date
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Identify applicable Indian Standard,1,Find the Indian Standard for your product,"Search for the Indian Standard against the product using the Application/Licence-related search on MANAK Online; if it cannot be found, send a query to the concerned BIS technical department.",,,,https://www.manakonline.in/MANAK/ApplicationLicenceRelatedrpt,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Submit application,2,Submit application online on MANAK Online,"BIS accepts product certification applications, including all payments, in online mode only, through the www.manakonline.in portal.",,"Application fee: Rs. 1,000 (non-refundable)",,https://www.manakonline.in,https://www.manakonline.in/MANAK/impLinks,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Factory inspection,3,BIS preliminary inspection visit,"BIS carries out an assessment of the manufacturing infrastructure, process controls, quality control and testing capability through a visit to the factory premises.",,"Inspection fee: Rs. 7,000 per man-day, payable before the preliminary inspection visit",,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Product testing (Option 1 / Option 2),4,Conformity testing of the product,"Conformity to the relevant Indian Standard is established either through third-party laboratory testing, testing in the manufacturer's own premises, or a combination of both. Under Option-2, only test reports from BIS, or a BIS-recognised/empanelled laboratory, are acceptable, and must generally not be more than 90 days old.",,,,https://lims.bis.gov.in/home/search_is_number/,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Grant of licence,5,Licence granted and marking/annual fee deposited,"After successful evaluation, the applicant deposits the annual licence fee plus the minimum marking fee specified for the product (as per Annexure I of Scheme-I of the BIS (Conformity Assessment) Regulations, 2018, as amended). The licence permits use of the ISI Standard Mark for the varieties covered under its granted scope.",,"Annual licence fee: Rs. 1,000 plus product-specific minimum marking fee",,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Timeline,,Average time to grant of licence,"Average time for grant of licence under Option-2 (existing acceptable test report) is generally about one month; under Option-1 (BIS-arranged testing) it is generally about four months from receipt of a complete application. Actual time may vary due to query responses, scheduling of inspection(s), sample deposition and fee payment.",,,Option-2: ~1 month; Option-1: ~4 months (from date of complete application),,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Licence validity and renewal,,Validity and renewal of licence,"Certification under Scheme-I may initially be granted for up to two years and covers only the varieties mentioned in the licence. On renewal, the licence may be extended for up to five years from the last date of validity, subject to application with requisite fee and documents.",,,Initial validity: up to 2 years; renewable up to 5 years,https://www.manakonline.in,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
ISI Mark - Product Certification (Scheme-I),Domestic Manufacturer,Factory surveillance,,Ongoing surveillance after licence grant,"BIS carries out surprise factory surveillance inspections (through BIS officers or appointed agents) to verify continued conformity, and also carries out market surveillance by purchasing ISI-marked product samples for third-party lab testing.",,,,,,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
FMCS (Foreign Manufacturers Certification Scheme),Foreign Manufacturer,Nomination of Authorised Indian Representative,1,Nominate an Authorised Indian Representative (AIR),"A foreign manufacturer seeking an ISI mark for export to India must nominate an Authorised Indian Representative, a registered Indian entity or resident who handles communication with BIS on the manufacturer's behalf; an AIR normally represents only one foreign manufacturer.",,,,https://www.manakonline.in/FMCS/eBISLogin,https://www.bis.gov.in/fmcs/certification-process/nomination-of-air/?lang=en,https://www.bis.gov.in/fmcs/certification-process/aboutfmcs/?lang=en,About FMCS - Bureau of Indian Standards,https://www.bis.gov.in/fmcs/certification-process/aboutfmcs/?lang=en,2026-09-07
FMCS (Foreign Manufacturers Certification Scheme),Foreign Manufacturer,Apply and grant of licence,2,Apply online and undergo assessment,"Application, factory assessment and testing follow a process broadly similar to the domestic Scheme-I product certification route, coordinated through the AIR.",,,,https://www.manakonline.in/FMCS/eBISLogin,,https://www.bis.gov.in/fmcs/certification-process/grant-of-licence/?lang=en,Grant of License - FMCS - Bureau of Indian Standards,https://www.bis.gov.in/fmcs/certification-process/grant-of-licence/?lang=en,2026-09-07
