question,answer,category,keywords,official_url,source_page_title,source_url,last_verified_date
What is a BIS product certification licence?,A licence is granted under Section 13 of the BIS Act 2016 to use a specified Standard Mark on goods that conform to the relevant Indian Standard.,Product Certification,licence;standard mark;section 13;bis act,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
For which products is a BIS licence compulsory?,"Products are brought under compulsory certification by the Central Government under the BIS Act, 2016 or other applicable Acts, through Quality Control Orders. The current list of products covered is published on the official Products under Compulsory Certification page.",ISI Mark,compulsory certification;qco;mandatory;licence,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
What is the fee for a BIS product certification licence?,"An application fee of Rs. 1,000 is payable with the application. An inspection fee of Rs. 7,000 per man-day is payable before the preliminary inspection visit. On grant of the licence, an annual licence fee of Rs. 1,000 plus the product-specific minimum marking fee (per Annexure I of Scheme-I of the BIS (Conformity Assessment) Regulations, 2018, as amended) is payable.",Product Certification,fee;application fee;inspection fee;marking fee;annual fee,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
What is the timeline for grant of a BIS product certification licence?,"Average time for grant of licence under Option-2 (existing acceptable test report) is generally about one month; under Option-1 (BIS-arranged testing) it is generally about four months from the date of receipt of a complete application, subject to variation for reasons like query response delays, inspection scheduling, sample deposition and fee payment.",Product Certification,timeline;processing time;option 1;option 2,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
What is the validity of a BIS product certification licence?,"Certification under Scheme-I may initially be granted for up to two years, valid only for the varieties mentioned in the licence, and may be renewed for up to five years from the last date of validity on application with the requisite fee and documents.",Product Certification,validity;renewal;licence period,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
Can one BIS licence cover all varieties of a product made in the same factory?,"No. A licence is granted for one product/one Indian Standard, and only covers the varieties/grades/sizes specified in the 'Scope of licence' granted; the scope can be changed (inclusion or deletion of varieties) through the applicable BIS guideline for change in scope.",Product Certification,scope of licence;varieties;change in scope,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,Frequently Asked Questions - Bureau of Indian Standards (Product Certification),https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,2026-09-07
What does a BIS Hallmark consist of?,"Since the introduction of HUID on 1 July 2021, a hallmark consists of three marks: the BIS logo (Standard Mark), the purity of the article in caratage and fineness, and a six-digit alphanumeric HUID number.",Hallmarking,huid;bis logo;purity;fineness,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,General - Hallmarking FAQs - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2026-09-07
How can a consumer verify a HUID number?,The HUID number can be verified using the 'Verify HUID' feature in the official BIS CARE mobile application.,Hallmarking,huid verification;bis care app,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,General - Hallmarking FAQs - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/hallmarking-faqs/hallmarking-faq/?lang=en,2026-09-07
What compensation is a consumer entitled to if hallmarked jewellery purity is found lower than marked?,"The buyer is entitled to compensation equal to two times the value of the purity shortfall (calculated on the weight of the article sold), plus reimbursement of the testing charges.",Consumer Safety,compensation;purity shortfall;consumer protection,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,Consumer Protection - Bureau of Indian Standards,https://www.bis.gov.in/hallmarking-overview/consumer-protection/?lang=en,2026-09-07
How does BIS record and act on consumer complaints?,"BIS follows a well-established complaint redressal procedure. Complaints are recorded centrally at the Complaints Management and Enforcement Department (CMED); complaints can be made offline or online, through the BIS CARE mobile app or the Standard Promotion Portal; on receipt, the complaint is investigated and further action taken for redressal.",Complaints,complaint;cmed;bis care;redressal,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,Online Complaint Registration - Bureau of Indian Standards,https://www.bis.gov.in/consumer-overview/online-complaint-registration/?lang=en,2026-09-07
Is BIS certification mandatory or voluntary?,"BIS certification is basically voluntary. However, for a number of products, compliance with Indian Standards is made compulsory by the Central Government - considering public interest, protection of human/animal/plant health, environmental safety, prevention of unfair trade practices, or national security - through the issuance of Quality Control Orders (QCOs) that mandate use of the Standard Mark under a Licence or Certificate of Conformity.",General BIS,voluntary;mandatory;qco;standard mark,https://www.bis.gov.in/product-certification/product-certification-overview/?lang=en,Product Certification Overview - Bureau of Indian Standards,https://www.bis.gov.in/product-certification/product-certification-overview/?lang=en,2026-09-07
